dsp clock from the systime interface: 546045534479
sequence_number, timestamp(us), updated_timestamp(us), acc_x, acc_y, acc_z, ang_x, ang_y, ang_z, temperature_C
258220, 541557571, 546520688, 0.21, -0.13, 1.04, 0.29, -0.34, -0.00, 42.24
258221, 541559585, 546522702, 0.29, 0.35, 0.91, 0.20, 0.05, 0.10, 42.24
258222, 541561569, 546524686, 0.02, 0.66, 0.55, 0.19, 0.33, 0.14, 42.20
258223, 541563584, 546526701, -0.10, 0.49, 0.75, -0.09, 0.42, 0.06, 42.22
258224, 541565567, 546528684, -0.23, -0.11, 0.78, -0.02, 0.11, -0.06, 42.22
258225, 541567582, 546530699, -0.02, -0.40, 1.17, 0.01, -0.35, -0.12, 42.24
258226, 541569566, 546532683, 0.23, -0.57, 2.26, 0.24, -0.48, -0.10, 42.19
258227, 541571580, 546534697, 0.19, -0.02, 0.85, 0.20, -0.23, -0.00, 42.21
258228, 541573564, 546536681, 0.24, 0.24, 0.39, 0.17, 0.16, 0.09, 42.26
258229, 541575578, 546538695, -0.05, 0.61, 0.75, 0.16, 0.29, 0.12, 42.25
258230, 541577562, 546540679, -0.04, 0.41, 1.09, -0.04, 0.28, 0.04, 42.25
258231, 541579577, 546542694, -0.16, -0.17, 0.43, -0.02, 0.03, -0.07, 42.24
258232, 541581560, 546544677, 0.19, -0.28, 1.74, 0.05, -0.35, -0.11, 42.23
258233, 541583575, 546546692, 0.08, -0.43, 1.74, 0.20, -0.41, -0.07, 42.25
258234, 541585559, 546548676, 0.18, 0.04, 1.22, 0.16, -0.10, 0.02, 42.21
258235, 541587573, 546550690, 0.15, 0.21, 0.25, 0.16, 0.24, 0.08, 42.24
258236, 541589587, 546552704, -0.13, 0.48, 0.40, 0.09, 0.21, 0.09, 42.23
258237, 541591571, 546554688, -0.03, 0.23, 1.19, -0.01, 0.07, 0.01, 42.18
258238, 541593586, 546556703, -0.11, -0.25, 0.65, -0.01, -0.08, -0.07, 42.28
258239, 541595569, 546558686, 0.34, -0.17, 1.98, 0.09, -0.25, -0.10, 42.21
258240, 541597584, 546560701, -0.03, -0.27, 1.30, 0.18, -0.27, -0.05, 42.19
258241, 541599568, 546562685, 0.18, 0.24, 1.39, 0.16, -0.06, 0.02, 42.25
258242, 541601582, 546564699, 0.04, 0.27, 0.14, 0.11, 0.20, 0.06, 42.21
258243, 541603566, 546566683, -0.12, 0.33, 0.33, 0.04, 0.12, 0.05, 42.20
258244, 541605580, 546568697, 0.01, 0.11, 1.20, 0.00, -0.05, -0.01, 42.23
258245, 541607564, 546570681, 0.05, -0.37, 0.96, -0.02, -0.14, -0.06, 42.22
258246, 541609578, 546572695, 0.26, -0.20, 1.85, 0.09, -0.18, -0.06, 42.21
258247, 541611562, 546574679, -0.09, -0.16, 1.27, 0.15, -0.14, 0.00, 42.22
258248, 541613577, 546576694, 0.25, 0.27, 1.50, 0.18, -0.02, 0.05, 42.21
